student_id,age,country,prior_programming_experience,weeks_in_course,hours_spent_learning_per_week,practice_problems_solved,projects_completed,tutorial_videos_watched,uses_kaggle,participates_in_discussion_forums,debugging_sessions_per_week,self_reported_confidence_python,final_exam_score,passed_exam
1,54,Pakistan,Beginner,12,12.2,60,1,24,0,1,4,10,53.8,0
2,44,Nigeria,None,15,14.2,52,1,32,0,0,5,7,31.9,0
3,30,India,Intermediate,5,7.7,71,1,43,0,0,6,3,59.4,0
4,23,Nigeria,Beginner,4,5.6,64,2,40,1,0,3,10,58.8,0
5,36,UK,None,3,3.5,62,1,47,1,0,3,7,24.8,0
6,54,Brazil,Intermediate,10,8.4,64,0,35,0,1,3,3,43.8,0
7,34,USA,None,1,12.3,60,1,35,0,0,5,2,40.8,0
8,38,Nigeria,None,3,6.3,56,3,41,1,1,7,1,24.7,0
9,26,Bangladesh,Beginner,3,0.0,52,1,26,0,0,5,6,20.7,0
10,26,Brazil,Beginner,7,9.0,60,1,42,1,1,6,3,45.3,0
11,39,Brazil,Intermediate,7,10.0,58,3,47,0,0,2,10,65.6,1
12,51,Nigeria,None,13,2.2,69,3,41,0,0,2,2,14.6,0
13,39,Brazil,Beginner,15,7.5,57,1,34,1,1,5,3,28.9,0
14,18,Germany,None,12,8.4,69,0,36,0,1,5,8,39.6,0
15,37,Nigeria,None,1,6.8,55,4,40,0,1,3,3,14.9,0
16,17,India,Intermediate,3,4.6,61,2,46,0,0,9,4,49.7,0
17,39,Pakistan,Intermediate,13,10.0,61,1,40,0,0,4,2,43.0,0
18,45,UK,None,8,5.8,58,3,40,1,0,6,8,35.2,0
19,53,Indonesia,Beginner,9,2.5,72,1,39,0,1,6,6,18.9,0
20,17,Other,None,7,0.9,70,1,46,1,0,4,9,30.6,0
21,36,Brazil,Intermediate,7,10.8,70,4,41,0,0,8,8,76.0,1
22,48,India,None,12,8.8,54,4,40,0,1,5,4,42.4,0
23,27,USA,None,15,7.3,57,1,48,1,1,5,8,33.3,0
24,37,USA,Beginner,11,5.7,56,2,41,1,1,7,1,35.0,0
25,40,Other,Beginner,8,5.4,51,4,48,0,0,6,9,55.0,0
26,42,UK,Beginner,6,3.8,68,2,34,0,1,6,5,29.0,0
27,43,Brazil,None,11,5.7,69,2,52,0,0,7,4,27.6,0
28,31,Germany,None,3,0.6,59,1,43,1,0,6,5,1.1,0
29,30,Other,Beginner,15,4.8,63,2,36,0,1,9,1,26.5,0
30,18,UK,None,1,6.1,47,1,39,0,1,4,2,8.8,0
31,52,Brazil,Intermediate,7,8.8,66,3,45,0,1,5,2,53.5,0
32,22,India,None,1,6.9,59,4,44,0,0,10,9,47.0,0
33,36,Pakistan,Beginner,1,9.4,62,3,37,1,1,4,6,45.2,0
34,24,Germany,Beginner,9,11.0,63,1,49,0,0,1,3,45.8,0
